#,籤號,等級,宮位,詩曰一,詩曰二,詩意,解曰,故事,故事內容,家宅,自身,求財,交易,婚姻,六甲,行人,田蠶,六畜,尋人,訟詞,移徙,失物,疾病,山墳
24,第二十四籤,下籤,巳宮,"不成鄰里不成家
水泡痴人似落花
若問君恩難得力
到頭畢竟事如蔴","不成理論不成家
水性痴人似落花
若問君恩須得力
到頭方見事如麻",此卦痴人道塞之象。凡事守舊待時也。,是非莫說。必須仔細。心正理直。方免災危。,文種不聽范少伯,越王勾踐（前四九七年 --前四六五年）即位不久，即打敗吳國。兩年後，吳王夫差攻破越都，勾踐被迫屈膝投降，並隨夫差至吳國，臣事吳王，後被赦歸返國。勾踐自戰敗以後，時刻不忘會稽之恥，日日臥薪嘗膽，反躬自問『汝忘會稽之恥邪？』。他重用范蠡、文種等賢人，經過『十年生聚而十年教訓』，使越之國力漸漸恢復起來。可是吳對此卻毫不警惕。前四八二年，吳王夫差為參加黃池之會，盡率精銳而出，僅使太子和老弱守國。越王勾踐遂乘虛而入，大敗吳師殺吳太子。夫差倉卒與晉定盟而返，連戰不利，不得已而與越議和。前四七三年，越軍再次大破吳國，吳王夫差被圍困在吳都西面的姑蘇山上，求降不得而自殺，吳亡。越王勾踐既平吳，聲威大震，乃步吳之後塵，以兵渡淮，會齊、宋、晉、魯等諸侯於徐州（今山東滕縣南），周天子使人命勾踐為『伯』（霸）。時『越兵橫行於江、淮東，諸侯畢賀，號稱霸王』但這時，春秋時代行將結束，霸政趨於尾聲，勾踐實乃春秋末期最後的一個霸主。當勾踐剛剛滅吳稱霸，其手下最大之功臣范蠡被封上將軍，然范蠡深知『大名之下難久居』、『久受尊名不祥』，故功成立即隱退，『自與其私徒屬乘舟浮海以行，終不反』。傳其改名陶朱公，後以經商而致富。范蠡曾遣人致書文種，謂『飛鳥盡，良弓藏；狡兔死，走狗烹。越王為人長頸鳥啄，可與共患難，不可與共樂，子何不去？』文種未能聽從，不久果被勾踐賜劍自殺。,不安,險,阻,難,待時,祈福,阻,多災,多災,阻,虧,吉,難見,急求神,不吉
25,第二十五籤,中籤,巳宮,"過了憂危第幾重
從今再歷永無凶
寬心自有寬心計
得遇高人護聖功","過了憂危事幾重
從今再立永無空
寬心自有寬心計
得遇高人立大功",此卦古井逢泉之象。凡事貴人成就也。,訟終有理。病得安全。出入求謀。古井逢泉。,伍子胥過昭關,在諸侯大國爭奪霸權的鬥爭中，大國兼併小國，擴張了土地。可是大國的諸侯不得不把新得到的土地分封給立了功的大夫。大夫的勢力大了起來。他們之間也經常發生鬥爭。大國國內的矛盾尖銳起來，都想把爭奪霸權的戰爭暫時停止下來。為了這個緣故，宋國大夫向戍（音ｓｈ徂）在晉、楚兩國之間奔走，做調停人。西元前５４６年，晉楚兩國和其他幾個國家，在宋國舉行了“弭兵會議”（弭音ｍǐ，弭兵就是停止戰爭）。在這次會議上，晉國的大夫和楚國的大夫代表南北兩個集團講了和，訂了盟約。規定除齊、秦兩個大國外，各小國都要向晉、楚兩國同樣朝貢。晉楚兩國平分霸權，以後五十多年�堙A沒發生大的戰爭。到楚莊王的孫子楚平王即位之後，楚國漸漸衰落了。西元前５２２年，楚平王要把原來的太子建廢掉。這時候，太子建和他的老師伍奢正在城父（在河南襄城西）鎮守。楚平王怕伍奢不同意，先把伍奢叫來，誣說太子建正在謀反。伍奢說什麼也不承認，立刻被關進監獄。楚平王一面派人去殺太子建，一面又逼伍奢寫信給他的兩個兒子伍尚和伍子胥，叫他們回來，以便一起除掉。大兒子伍尚回到郢都（今湖北江陵西北，郢音ｙǐｎｇ），就跟父親伍奢一起，被楚平王殺害。太子建事先得到風聲，帶著兒子公子勝逃到宋國去了。伍奢的另一個兒子伍子胥，也從楚國逃出來，他趕到宋國，找到了太子建。不巧宋國發生內亂，伍子胥又帶著太子建、公子勝逃到鄭國，想請鄭國幫他們報仇。可是鄭國國君鄭定公沒有同意。太子建報仇心切，竟勾結鄭國的一些大臣想奪鄭定公的權，被鄭定公殺了。伍子胥只好帶著公子勝逃出鄭國，投奔吳國（都城在今江蘇蘇州）。楚平王早就下令懸賞捉拿伍子胥，叫人畫了伍子胥的像，挂在楚國各地的城門口，囑咐各地官吏盤查。伍子胥帶著公子勝逃出鄭國後，白天躲藏，晚上趕路，來到吳楚兩國交界的昭關（在今安徽含山縣北）。關上的官吏盤查得很緊。傳說伍子胥一連幾夜愁得睡不著覺，連頭髮也愁白了。幸虧他們遇到了一個好心人東皋公，同情伍子胥，把他接到自己家�堙C東皋公有個朋友，模樣有點像伍子胥。東皋公讓他冒充伍子胥過關。守關的逮住了這個假伍子胥，而那個真伍子胥因為頭髮全白，面貌變了，守關的認不出來，就被他混出關去。,平平,阻滯,阻滯,阻滯,和合,有險,阻隔,不利,不利,阻隔,有理,不合,難尋,祈福,不安
26,第二十六籤,中籤（下籤）,巳宮,"上下傳來事總虛
天邊接得一封書
書中許我功名事
直待終時亦是無","上下傳來事轉虛
天邊接得一封書
書中許我功名遂
直到終時亦是虛",此卦虛名之象。凡事虛多少實宜守舊也。,上下心煩。求閒不閒。欲望功名。守舊身安。,桓溫得殷浩書,故事很長，所以簡單敘述：桓溫、殷浩幼時就在一起，長大後都在東晉為官，但是卻相互鬥爭，最後殷浩不敵，被朝廷罷黜。後來桓溫升大將軍，有人建議桓溫念舊情重新起用殷浩，殷浩卻因為怕回信寫得不好惹桓溫升大將軍生氣，竟然只送了一張白紙。桓溫見到這張白紙非常憤怒（在官廳待過的都應該可以體會），就再也不和殷浩往來。chnace 研究室有關桓溫的另一個故事詳見觀音一百籤第五十三籤。,祈福,安,阻,不成,不成,女,有信,半熟,可養,西方,虧,守舊,難,祈保,吉
27,第二十七籤,中籤,午宮,"一謀一用一番機
慮後疑前不敢為
時至自然逢貴助
銀牆鐵壁好安居","一謀一用一番書
慮后思前不敢為
時到貴人相助力
如山牆立可安居",此卦屋好牆壁之象。凡事穩當無險也。,改舊成新。寒花遇春。從前阻滯。今得稱心。,李鄴侯白衣宰相,唐朝李泌，曾輔佐玄宗、肅宗、代宗、德宗四位皇帝。一個和尚在他母親年幼時，說：「這女孩以後得嫁給姓李的，能生三個兒子，那個最小的孩子由金印紫綬起家，作帝王的老師。」,安,吉,有,難,阻,女,遲,熟,利,遲,宜和,吉,無蹤,延安,守舊大吉
28,第二十八籤,中籤,午宮,"東方月上正蟬娟
頃刻雲遮月半邊
莫道圓時還又缺
須教缺處復重圓","東邊月上正蟬娟
頃刻雲遮亦暗存
或有圓時還有缺
更言非者亦閑言",此卦月被雲遮之象。凡事昏迷未定也。,浮雲遮月。不須疑惑。等待雲收。便見明白。,孟嘗君雞鳴度關,自古說孟嘗君養食客三千，雞鳴狗盜的多收拾在門下。后來被秦王拘留，無計得脫。秦王有個愛姬傳語道：“聞得孟嘗君有領狐白裘，价值千金。若將來送了我，我替他討個人情，放他歸去。”孟嘗君當時只有一領狐白裘，已送上秦王收藏內庫，那得再有？其時狗盜的便獻計道：“臣善狗偷，往內庫去偷將出來便是。”你道何為狗偷？乃是此人善做狗嗥。就假做了狗，爬牆越壁，快捷如飛，果然把狐白裘偷了出來，送与秦宮愛姬，才得善言放脫。連夜行到函谷關。孟嘗君恐怕秦王有悔，后面追來，急要出關。當得關上直等鳴鳴才開。孟嘗君著了急，那時食客道：“臣善雞鳴，此時正用得著。”就曳起聲音，學作雞啼起來，果然与真無二。啼得兩三聲，四下群雞皆啼，關吏听得，把關開了，孟嘗君才得脫去。孟嘗君平時養了許多客，今脫秦難，卻得此兩小人之力，可見天下寸長尺技，俱有用處。,不安,祈保,阻,吉,不合,有驚,滯,不利,不利,難,虧,守舊,西方,難痊,改
29,第二十九籤,中籤,午宮,"寶劍光芒出匣時
匣中應不被塵欺
貴人親手提攜起
儘可防身更無疑","寶劍出匣耀光明
在匣全然不惹塵
今得貴人攜出現
有威有勢眾人欽",此卦寶劍出匣之象。凡事有威有勢也。,寶劍出匣。光輝萬里。貴人指引。無不觀美。,百里奚飼牛入相,古文中『食』與『飼』相通晉獻公滅虞，俘虜了虞公及其大夫井伯、百里奚，就將他們作為穆姬的媵人（隨嫁的人）陪嫁到秦國。百里奚不願忍受奴隸的生活，逃到宛（今河南南陽），被楚國人捉去。秦穆公胸懷大志，卻苦於無賢才輔佐。有人告訴他，穆姬媵人百里奚是不可多得的人材，他喜出望外，急忙去請，卻得知百里奚已經逃到楚國。秦穆公願以重金贖回百里奚，又怕楚人不給。於是派使者到楚，說：「中國的媵奴百里奚逃到貴國，請允許我方用五張公羊皮將他贖回。」楚國一看此人如此不值錢，也就答應了秦的要求。當七十餘歲的百里奚被押回秦國時，秦穆公親自為他打開桎梏，與他商談國事。百里奚說：「我是亡國之臣，哪�堶�得君公垂詢！」穆公說：「虞君不用你，才使你被擄，並不是你的過錯。」堅持向百里奚討教，兩人一直談了三天，穆公十分高興，以百里奚為國相。由於百里奚是用五張公羊皮贖回來的，所以人稱其為「五羖大夫」。百里奚辭讓道：「我不如我的朋友蹇叔。蹇叔賢能而不為世人了解。當年我在外漫遊受困於齊，不得已向別人乞討，是蹇叔收留了我。我因此想到齊君無知那兒做事，是蹇叔阻止了我，使我倖免與無知一起被殺。我到周地，見王子頹喜歡牛，就以養牛去接近他。後來，王子頹想用我，又是蹇叔阻止了我，使我免於被誅。我到虞君手下做事，蹇叔又阻止我。我也知道虞君不會信用我，只是為了那一份俸祿和爵位，暫時留下來，想不到就當了俘虜。從這三件事，我深知蹇叔的賢能。」秦穆公於是用很重的禮品，將蹇叔請來秦國，任命他為上大夫。,祈福,吉,利,成,好,女,遲,宜早,損,見,和,興,南方,還舊願,吉
30,第三十籤,中籤,午宮,"勸君切莫向他求
似鶴飛來暗箭投
若去採薪蛇伏草
恐遭毒手也堪憂","勸君切莫向他求
似鶴飛來暗箭投
若去采薪蛇在草
恐遭毒口也憂愁",此卦安份守己之象。凡事小心謹防也。,閉口含齒。他事莫理。若有虧心。到頭害己。,達摩面壁,"大約在公元三世紀二十年代初期，達摩出生在印度香至國香玉王的王宮裡 。他聰明過人，勤奮好學，十幾歲就文武雙全，很得父王的喜愛，本想培養成國家棟樑，誰知他生性好佛，後來成為佛門出家弟子。  
在公元五二七年，達摩從印度泛海來到廣州。廣州刺史蕭昂聽到天竺高僧到來，便親自接到衙內，奉為上賓，安置在王園寺居住。 
達摩在廣州住了一年之後，當時梁武帝蕭衍知道了，便派大臣專程接到金陵。梁武帝自幼篤信佛敎，對天竺高僧的到來， 他親自出迎，讓達摩住進皇宮，敬為國師。達摩見梁武帝這樣諂於佛門和對自己的阿諛奉承，自知在金陵不是久留之地，便離別皇宮北上 。 
達摩來到長江邊，只見江水茫茫，沒有舟船，他借岸邊老婦一枝蘆葦，雙腳踏上，運足功夫，乘着一陣東南風飄到對岸， 被傳為佳話。現在少林寺仍保留着元代雕鑿的《達摩一葦渡江圖》的傑作。 
達摩從南京來到少林寺，居住在五乳峯上的蚩尤洞，面壁靜坐，山果為食，山泉為飮，其間，要同山中虎、狼、猿、蛇、 猛禽搏鬥；整天壁觀靜坐，給精神和肉體上帶來過度的萎靡和疲睏，於是，久坐了，他起來活動四肢，增強身心健康。為了生存，更必須 有對付野獸和歹徒的本領，這就逼使他習練武功。 
要活動練武，旣無場地又無器械，只好在洞口寬不足尺，長不過丈的小道上光着兩手以伸展肢體，或從山 林中折根木棍作武器。為了硏究打擊虎、狼、猿、蛇、猛禽和歹徒要害部位的辦法，就模仿虎躍、龍遊、猴攀、鳶飛、鷹 翔、貓穿、狗閃、雞立、兔滾、蟲爬、蛇纏等動作。
後來又參照華佗《五禽戲》一書，演習出十八種定型動作，名曰“羅漢十八手”，又逐漸硏習了一套“心意拳”和“羅漢棍”。由於五乳峯場地約束，達摩逐漸形成了“拳打臥牛地，出手一條線”的風格。後來，又同弟子們一起演練、寫出了一本《達摩易筋 經》，一直流傳到今天。因此，人們稱達摩為武術家之祖
當時有位神光僧人博覽羣書，慕達摩之名，自斷手臂求法。達摩尊者被他的精誠所感動，逐傳法於他，並幫他改名慧可。經九年，達摩尊者欲歸天竺，臨走時，傳慧可禪宗之要義，受《楞迦經》四卷。過不多久，達摩入寂（歸天）。葬於熊耳山上林寺。三年後，有人在蔥嶺遇見達摩手拿著一隻靴子，向西方而行。達摩的事蹟，隨著禪宗的發展，漸趨神異，並成為中國畫家所愛的畫題。在通俗俠義小說中，菩提達摩也成了少林武功的創始者。 ",安,平平,待時,滯,未許,虛驚,阻隔,不利,不利,阻隔,虧（莫興）,守舊,不見,難痊,大吉
31,第三十一籤,中籤,未宮,"清閑無事靜處坐
飢時吃飯困時臥
放下身心不用忙
必定不遭殃與禍","清閑無憂靜處儈
飽后吃茶時坐臥
汝下身心不用忙
必定不招冤與禍",此卦守舊安然之象。凡事時待時則吉也。,守舊安然。叩問神仙。直待時來。事亦偶然。,常何薦馬周,"歷史上有劉備三顧茅廬、恭請諸葛亮出山輔佐漢室的故事，留下流傳千秋的納賢佳話。其實，盛世明君唐太宗也有一段三請馬周的故事。太宗不僅在草創基業、馬上定天下時注重求賢，而且在登基稱帝后，更是思得忠良以匡輔國政。他「三請馬周」破格用才的故事，顯示出他思賢若渴的明君本色。
貞觀三年，天下大旱，嚴重的災情已危及國計民生。唐太宗憂心如焚，多次率百官求雨並極為虔誠的譴責自己。太宗求天不應，便召集群臣商量對策。他宣佈，無論文臣還是武將都要指出朝廷政令的得失，並提出幾條具體的意見。這可難壞了武將常何，他回到府中，愁眉不展。正好家中一位名叫馬周的落魄朋友，漫遊到長安，借住在他的府中。得知了常何的為難之事，馬周不加思索，伏在案上，洋洋灑灑的向朝廷提了二十多條建議，文辭非常優美。
次日早朝，常何懷著忐忑不安的心情將奏疏呈現給太宗。太宗一看，這些建議有根有據，切中時弊，確屬可行，但武夫常何決非有這神來之筆，便問他是何人所寫。常何告訴太宗為馬周所寫。太宗又問馬周是何樣之人，常何便向太宗介紹說：「馬周是清河荏平（今山東荏平）人，家境貧寒，但勤奮好學，尤其精通先秦諸子的典籍。由於自負才學出眾，清高而孤傲，鬱鬱不得志。他在博州一所學校教書，常受地方官的訓斥，一怒之下便拂袖而去，離家遠遊。他窮困潦倒，經常受人欺凌，歷盡艱辛來到長安，住在臣家，乃當今一大奇士也。」
太宗聽完介紹，立即預感到這是一位隱於「側陋」的傑出人才。傳詔獎賞給常何絹三百匹，表彰他推薦賢才之功，並派常何回家，請馬周入官見駕。等了約半個時辰，不見馬周前來。太宗求賢心切，親自派官員駕宮中的四馬彩車去請馬周。又過了半個時辰，太宗到殿外張望，還不見馬周入宮。他又派了一輛四馬彩車前去催請。這就是風傳一時的太宗禮賢下士、三請馬周的佳話。
太宗見到馬周，廣泛問及堯舜的德治天下、孔孟儒學的思想精華、周隋的盛衰興亡以及當今的時弊和治國要略，馬周對答如流，見解精闢。太宗對馬周的才華和忠誠極為讚賞，不久拜為監察御史。
馬周為官後理政謙虛、謹慎，不拘舊俗，銳意創新，對於貞觀一朝的制度建設作出了重要貢獻。為了表彰馬周勤勞國事，唐太宗親自題寫了「鸞鳳衝霄，必假羽翼，股肱之寄，要在忠力」十六個草書大字賜與馬周，使馬周大享殊榮。
貞觀二十二年，馬周病危，太宗親自為他調藥，命御醫日夜護理。馬周去世時，年僅四十八歲，令太宗哀悼不已。
從唐太宗對待馬周一事可以看出，太宗求賢的虔誠、禮賢的恭敬、用賢的如一、思賢的深情。所以天下賢才聚集朝廷，君臣共創大唐盛世之偉業。",祈保,安,守待,宜遲,合,女,至,秋熟,穩,難,和,吉,虛,設送,吉
32,第三十二籤,中籤,未宮,"渺渺前途事可疑
石中藏玉有誰知
一朝良臣分明剖
始覺其中碧玉奇","歸程杳杳定無疑
石中藏玉有誰知
一朝良匠分明剖
始覺安然碧玉期",此卦剖石見玉之象。凡事著力成功也。,寶在石中。異人少知。直待分明。盡可施為。,三顧草廬,漢。諸葛亮。字孔明。瑯琊人。漢末避居南陽。志學清修。養生之道。研究奇明(門)遁法。天文術數。卦算韜略。無所不精。初不求聞達於諸侯。後徐庶薦於劉先生。先主凡三往問計。延為軍師。先主即位。拜丞相。受以託孤。後主封為武卿侯。卒諡忠武。3.常何薦馬周歷史上有劉備三顧茅廬、恭請諸葛亮出山輔佐漢室的故事，留下流傳千秋的納賢佳話。其實，盛世明君唐太宗也有一段三請馬周的故事。太宗不僅在草創基業、馬上定天下時注重求賢，而且在登基稱帝后，更是思得忠良以匡輔國政。他「三請馬周」破格用才的故事，顯示出他思賢若渴的明君本色。貞觀三年，天下大旱，嚴重的災情已危及國計民生。唐太宗憂心如焚，多次率百官求雨並極為虔誠的譴責自己。太宗求天不應，便召集群臣商量對策。他宣佈，無論文臣還是武將都要指出朝廷政令的得失，並提出幾條具體的意見。這可難壞了武將常何，他回到府中，愁眉不展。正好家中一位名叫馬周的落魄朋友，漫遊到長安，借住在他的府中。得知了常何的為難之事，馬周不加思索，伏在案上，洋洋灑灑的向朝廷提了二十多條建議，文辭非常優美。次日早朝，常何懷著忐忑不安的心情將奏疏呈現給太宗。太宗一看，這些建議有根有據，切中時弊，確屬可行，但武夫常何決非有這神來之筆，便問他是何人所寫。常何告訴太宗為馬周所寫。太宗又問馬周是何樣之人，常何便向太宗介紹說：「馬周是清河荏平（今山東荏平）人，家境貧寒，但勤奮好學，尤其精通先秦諸子的典籍。由於自負才學出眾，清高而孤傲，鬱鬱不得志。他在博州一所學校教書，常受地方官的訓斥，一怒之下便拂袖而去，離家遠遊。他窮困潦倒，經常受人欺凌，歷盡艱辛來到長安，住在臣家，乃當今一大奇士也。」太宗聽完介紹，立即預感到這是一位隱於「側陋」的傑出人才。傳詔獎賞給常何絹三百匹，表彰他推薦賢才之功，並派常何回家，請馬周入官見駕。等了約半個時辰，不見馬周前來。太宗求賢心切，親自派官員駕宮中的四馬彩車去請馬周。又過了半個時辰，太宗到殿外張望，還不見馬周入宮。他又派了一輛四馬彩車前去催請。這就是風傳一時的太宗禮賢下士、三請馬周的佳話。太宗見到馬周，廣泛問及堯舜的德治天下、孔孟儒學的思想精華、周隋的盛衰興亡以及當今的時弊和治國要略，馬周對答如流，見解精闢。太宗對馬周的才華和忠誠極為讚賞，不久拜為監察御史。馬周為官後理政謙虛、謹慎，不拘舊俗，銳意創新，對於貞觀一朝的制度建設作出了重要貢獻。為了表彰馬周勤勞國事，唐太宗親自題寫了「鸞鳳衝霄，必假羽翼，股肱之寄，要在忠力」十六個草書大字賜與馬周，使馬周大享殊榮。貞觀二十二年，馬周病危，太宗親自為他調藥，命御醫日夜護理。馬周去世時，年僅四十八歲，令太宗哀悼不已。從唐太宗對待馬周一事可以看出，太宗求賢的虔誠、禮賢的恭敬、用賢的如一、思賢的深情。所以天下賢才聚集朝廷，君臣共創大唐盛世之偉業。,平平,安,勞力,阻,成,虛,杳,晚成,旺,見,驚,改,西方,欠安,改向吉
33,第三十三籤,中籤,未宮,"石藏美玉在中心
得指何須向外尋
直待高人來剖析
恰如靈雨滌煩襟","內藏無價寶和珍
得玉何須外界尋
不如等待高人識
寬心猶且更寬心",此卦藏玉外尋之象。凡事待時可也。,內藏金玉。不識外尋。遇貴指引。不須勞心。,鮑叔進管仲,鮑叔牙與管仲為至交好友，見齊王可能傳位之人僅有大公子糾、二公子小白，便分別投靠這二位，以其未來二人之一稱王，便可相互舉薦。後來鮑叔牙輔佐的二公子小白承襲王位，是為齊桓公，齊桓公痛恨管仲曾在王位之爭中射他一箭，即使有此一箭之仇，鮑叔牙仍不忘約定，花費許多心思舉薦管仲為相。,祈保,安,守待,遲,就,男,阻,半熟,旺,勞,擱,吉,北方,遇良醫,宜改
34,第三十四籤,中籤（上籤）,未宮,"出入行藏禮義恭
言必忠良聽必聰
心下了然俱洞徹
光明如日正當空","行藏出入禮義恭
言必忠良信必從
心不了然且靜澈
光明紅日正當中",此卦紅日當空正照之象。凡事遂意也。,心中無事。秋水澄清。不須疑惑。事自然成。,文中子上太平策,楊堅仁壽三年（西元603年），儒者王通（文中子）朝謁獻〈太平十二策〉；楊堅不能接受，王通「遂教授於河、汾之間，弟子自遠至者甚眾」（《資治通鑑˙卷第一七九》）。相傳他教授弟子數千，唐朝開國功臣房玄齡、魏徵、李靖等人均出其門。王通對儒學的傳承，自然不屬王朝官學體系，而是民間家學的延續。《全唐文˙卷第一三五》說王通家學淵源頗深：「以《春秋》、《周易》訓授鄉里，爲子孫資。」換句話說，儒學之再度萌芽，以禮失求諸野的方式出現了；當然，王通只是其中之一。,清吉,安,虛,難,合,有險,阻,不利,衰,滯,虧,守舊,虛,設送,大吉
35,第三十五籤,中籤,申宮,"衣冠重整就宿風
道是無功卻有功
掃卻當途荊棘碍
三人共議事相同","衣冠重整舊家風
道是無穹卻有功
掃卻當途荊棘刺
三人約議再和同",此卦衣冠重整之象。凡事先難后易也。,不用憂疑。自有佳期。若問前程。前路可宜。,劉關張古城相會,三國時代，劉關張三人投靠袁紹被曹操打散，劉備敗走，關羽與劉備的二位妻子同留曹操處、張飛不知去向，後來關羽得知劉備尚在，即過五關斬六將前往相會，在古城遇見張飛，又打聽到劉備消息將他迎來，三人於古城相會。,亂,吉,好,利,阻,驚,至,不利,興,至,有理,安,遲見,祈福,宜舊
36,第三十六籤,中籤,申宮,"目前病訟不須憂
實地資財儘可求
恰好繫猿金脫鎖
得歸仙洞去來遊","眼前病訟不須憂
寶地資財盡可求
恰似猿猴金鎖脫
自歸山洞去來悠",此卦猿猴脫鎖之象。凡事先難后易也。,脫除了事。且自寬心。待得時來。堪尋正路。,劉先主進葭萌關,三國時代，益洲劉璋為因應曹操日益坐大，需對付葭萌關的張魯，故請劉備相助，並分撥兵馬予劉備，使劉備得以擴大實力。,不安,安,大利,待時,未成,祈保,至,十足,平,至,有理,吉,遠,欠安,吉
37,第三十七籤,中籤,申宮,"欲問身安運泰時
風中燈燭不相宜
爭如收拾深堂坐
庶免光搖近處期","欲待身安動泰時
風中燈燭不相宜
不如收拾深堂坐
庶免光搖靜處明",此卦風搖燈燭之象。凡事守常則吉也。,靜處安身。待命守時。支惹非福。守舊相宜。,管公明避隱遼東,管公明：即管輅，三國時期魏國學者，自公明，善周易。管幼安：即管寧三國時期魏國學者，字幼安，朱虛人。管寧、邴原、華歆一起游學，管寧被稱為龍頭，邴原被稱為龍尾，華歆被稱為龍腹，東漢末年亂世避隱遼東的是管寧（管幼安），管寧在遼東名氣很大，吸引許多避世的賢人前往。曹操想找管寧出仕為官，問華歆會不會有困難，華歆回答恐怕做不到，結果曹操派使者到遼東，果然無法說服管寧出仕為官。,守舊,平平,有,難,不合,祈保,有信,秋熟,安,見,和,守舊,,禳星,勿改
38,第三十八籤,下籤,申宮,"鏡月當空出匣時
剎那雲霧暗迷離
寬心守待浮雲散
更改相宜可望為","月照天宅靜處期
忽遭雲霧又昏迷
寬心祈信雲霞散
此時更改好施為",此卦雲霧遮月之象。凡事未遂守舊也。,家道憂凶。人口有災。祈福保慶。猶恐破財。,淮陰侯背楚歸漢,韓信少年時甚為貧困，無法當官吏，也不會做生意。如史記所載，他一個大丈夫連自己都養不活，連河邊送飯給他吃的洗衣婦人都笑話他，不指望他的報答。有一天，淮陰市集的無賴擋住了他的去路，要韓信從跨下爬出去，否則便殺了自己。身材高大的韓信，竟然背著劍，從無賴的跨下爬過去。這些事韓信都忍住了，說明其志甚大，不謀於小。韓信從軍時，本來是在項羽陣營。項羽不能重用他，於是他便逃到劉邦陣營。韓信等十三人被判斬刑，輪到了韓信就斬，他大叫：「漢王不想得到天下嗎？為什麼砍壯士之頭顱？」監斬官驚其言語，狀其相貌，便放了他，經過交談，更對韓信大為服氣。後來，蕭何也對韓信感到驚奇，還演出後續這一段「蕭何月下追韓信」。（如雷雨詩一百籤第三十四籤『蕭何追韓信』故事）劉邦被項羽封在漢中，韓信到漢中投奔他。蕭何認為韓信是個奇才，多次勸劉邦重用他，都被劉邦拒絕。韓信認為劉邦不會重用自己，便離開他走了。蕭何聽到韓信離開的消息十分焦急，來不及稟告劉邦就親自朝韓信走的方向追去。劉邦誤以為蕭何也離他而去，感到就像失去了左右手一樣。後來，蕭何把韓信追了回來，劉邦就埋怨他說﹕「隨我到漢中的人最近逃跑了幾十個，你都沒有去追，為什麼要追韓信？」蕭何說﹕「那些逃走的人不難得到，至於韓信則不同，他可是個難得的人才。如果您打算永久在漢中稱王，就不要用韓信，如果您想東出與項羽爭奪天下，非用此人不可。」劉邦說﹕「看在你的份上，我用他為將軍如何？」蕭何說﹕「不行，這樣仍留不住他。」劉邦又說﹕「任他為大將軍怎麼樣？」蕭何說﹕「這樣做就可以了。」劉邦想把韓信招來委以大將軍之任，蕭何說﹕「大王待人一向怠慢無禮，如今又像叫小孩子一樣把韓信叫來，韓信還是要走。您要真想拜他為大將軍，就得選擇良日，經過齋戒，然後築起壇場鄭重其事地登壇拜將才行。」劉邦答應，並按照蕭何所說，拜了韓信為大將軍。韓信成功之後，以千金回贈當年給他飯吃的婦人。他給當年污辱他的里長一些錢，那個要韓信跨下而行的人，韓信給他當個小官。韓信後來舉棋不定，又想反，又不反。韓信先被貶為淮陰侯，後來謀反不成，被呂后設計謀，在長樂宮的鐘室斬了韓信，並夷其三族。一代大將軍，便在大漢天下底定之後，隨著走入了歷史。,不安,祈保,難,待時,難合,虛驚,阻,損,損,遇,和,安,虛,延安,宜修
39,第三十九籤,下籤,酉宮,"天邊消息應難問
切莫私心強望求
若把石頭磨作鏡
精神枉費一時休","天邊消息實難思
切莫多心望強求
若把石頭磨作鏡
曾知枉費己功夫",此卦守常安靜之象。凡事守己則吉也。,千般用計。枉費功夫。不如守舊。著甚來由。,曹操遣禰衡投黃祖,禰衡(173~198)，漢末辭賦家。字正平。平原般;今山東臨邑人。少有才辯，性格剛毅傲慢，好侮慢權貴。因拒絕曹操召見，操懷忿，因其有才名，不欲殺之，罰作鼓史，禰衡則當眾裸身擊鼓，反辱曹操。曹操怒，欲借人手殺之，因遣送與荊州牧劉表。仍不合，又被劉表轉送與江夏太守黃祖。後因冒犯黃祖，終被殺。《隋書·經籍志》有《禰衡集》卷久佚。今存文、賦見嚴可均《全上古三代秦漢三國六朝文》。,安,提防,平平,阻,不合,女,動,利,損,難,虧,平,空,設送。安,大吉
